hour,day_of_week,weekend,rolling_mean,rolling_std,rolling_min,rolling_max,skewness,kurtosis,latency_slope,latency_pct_change,fft_dominant_freq,anomaly
0,3,0,4.39,,4.39,4.39,,,,,0.0,-1
0,3,0,2.44,2.7577164466275352,0.49,4.39,,,-3.8999999999999995,-0.8883826879271071,0.0,-1
0,3,0,1.8133333333333332,2.2317332576572255,0.49,4.39,1.7301339927971733,,-1.9149999999999996,0.14285714285714302,0.0,-1
0,3,0,1.77,1.824262408025044,0.49,4.39,1.5498559224131667,2.135081533460326,-0.9166666666666665,1.928571428571428,0.0,-1
0,3,0,1.652,1.6017396792238117,0.49,4.39,1.7794169969023759,3.2984432220300164,-0.8024999999999999,-0.2804878048780488,0.0,-1
0,3,0,0.858,0.5318082361152373,0.42,1.64,0.9731180591611142,-1.002909036883403,-0.7939999999999999,-0.6440677966101696,0.0,-1
0,3,0,1.1059999999999999,0.6018139247308922,0.42,1.73,-0.17195240350316338,-2.8228127769869853,0.248,3.1190476190476195,0.0,-1
0,3,0,1.128,0.5784202624389986,0.42,1.73,-0.21195102239970395,-2.4686564181401756,0.021999999999999974,-0.6127167630057804,0.0,-1
0,3,0,1.0539999999999998,0.5169429368895565,0.42,1.73,0.028746369663268916,-1.0934490278096962,-0.074,0.8955223880597014,0.0,1
0,3,0,1.1440000000000001,0.5797240722964676,0.42,1.73,-0.35923411676824796,-2.475406961186651,0.08999999999999997,0.2834645669291338,0.0,-1
0,3,0,1.6940000000000002,0.9236232998360318,0.67,3.17,1.0922131871983687,2.0963231521345933,0.55,0.9447852760736197,0.0,-1
0,3,0,1.416,1.1020344822191364,0.34,3.17,1.164939669530856,1.421988627968176,-0.278,-0.8927444794952681,0.0,-1
0,3,0,1.394,1.1215747857365552,0.34,3.17,1.1405714730582022,1.2187393845689591,-0.02200000000000001,0.6470588235294119,0.0,-1
0,3,0,1.3419999999999999,1.1347114170572181,0.34,3.17,1.3151440098136487,1.475601381540649,-0.052000000000000005,0.8035714285714284,0.0,-1
0,3,0,1.2440000000000002,1.1247355244678634,0.34,3.17,1.7780764023008122,3.4432062582472773,-0.09800000000000002,0.1287128712871286,0.0,1
0,3,0,0.79,0.33105890714493613,0.34,1.14,-0.5562360468804047,-1.6210598179650961,-0.454,-0.21052631578947356,0.0,-1
0,3,0,0.998,0.30318311298619455,0.56,1.38,-0.39412468703662235,0.6688945975561976,0.20799999999999996,0.5333333333333332,0.0,-1
0,3,0,1.0379999999999998,0.2368966019173759,0.76,1.38,0.5305372265681247,-0.012534850862084094,0.039999999999999994,-0.4492753623188406,0.0,-1
0,3,0,0.874,0.449533091106761,0.19,1.38,-0.7939739353111699,0.8652512403563447,-0.164,-0.75,0.0,-1
0,3,0,1.2900000000000003,1.159310139695155,0.19,3.22,1.5110667584967303,2.685363105227862,0.41600000000000004,15.947368421052634,0.0,-1
0,3,0,1.252,1.1782487004024236,0.19,3.22,1.566103141702091,2.6480323993325547,-0.038000000000000075,-0.7795031055900621,0.0,-1
0,3,0,1.356,1.2147551193553374,0.19,3.22,1.062491483919066,0.21385186712542748,0.10399999999999995,1.676056338028169,0.0,-1
0,3,0,1.3080000000000003,1.2484670600380292,0.19,3.22,1.0913041528391596,0.007490065955824576,-0.04800000000000004,-0.7263157894736842,0.0,-1
0,3,0,1.75,1.140219277156811,0.52,3.22,0.131766136623676,-1.8565470468667347,0.442,3.615384615384615,0.0,-1
0,3,0,1.1839999999999997,0.9065483991492126,0.39,2.4,0.7076292773848372,-2.278322000431834,-0.5660000000000001,-0.8375,0.0,-1
0,3,0,1.3539999999999999,0.8745741821023532,0.39,2.4,-0.09964491805702491,-2.3697298068131354,0.17,3.0,0.0,-1
0,3,0,1.124,0.8458309523776014,0.39,2.4,1.0275464504440452,-0.3559923662353898,-0.22999999999999998,-0.5192307692307693,0.0,-1
0,3,0,1.1179999999999999,0.8512755135677287,0.39,2.4,1.019902085347005,-0.39712392582696293,-0.006000000000000005,-0.3466666666666667,0.0,-1
0,3,0,5.640000000000001,10.837901088310412,0.39,25.01,2.226142499653062,4.963509706660197,4.522,50.04081632653062,0.0,-1
0,3,0,5.632000000000001,10.84275887401357,0.35,25.01,2.225751495519665,4.962101628780161,-0.007999999999999119,-0.9860055977608957,0.0,-1
