timestamp,location,source,local_dest,local_avg,remote_dest,remote_avg,hour,day_of_week,weekend,local_avg_mean_5,local_avg_std_5,local_avg_slope,local_avg_acceleration,fft
1970-01-01 00:00:01.559041203,lower-level,wireless,192.168.0.1,0.35,142.254.217.53,13.65,0,3,0,5.632000000000001,10.84275887401357,-24.66,-49.18000000000001,150255.8095241482
1970-01-01 00:00:01.559041213,lower-level,wireless,192.168.0.1,0.6,142.254.217.53,13.84,0,3,0,5.44,10.94094602856627,0.25,24.91,245148.4395745399
1970-01-01 00:00:01.559041223,lower-level,wireless,192.168.0.1,4.26,142.254.217.53,159.16,0,3,0,6.142000000000001,10.67414493062559,3.6599999999999997,3.4099999999999997,190327.42763694632
1970-01-01 00:00:01.559041233,lower-level,wireless,192.168.0.1,0.33,142.254.217.53,8.97,0,3,0,6.11,10.695543464452847,-3.9299999999999997,-7.59,150484.79157744514
1970-01-01 00:00:01.559041244,lower-level,wireless,192.168.0.1,0.52,142.254.217.53,14.21,0,3,0,1.2120000000000002,1.7076797123582634,0.19,4.12,132076.94297237313
1970-01-01 00:00:01.559041254,lower-level,wireless,192.168.0.1,29.1,142.254.217.53,11.74,0,3,0,6.962000000000001,12.483485891368645,28.580000000000002,28.39,178007.41923416354
1970-01-01 00:00:01.559041264,lower-level,wireless,192.168.0.1,0.46,142.254.217.53,9.22,0,3,0,6.934,12.501467113903072,-28.64,-57.22,71472.21277313892
1970-01-01 00:00:01.559041274,lower-level,wireless,192.168.0.1,0.17,142.254.217.53,9.1,0,3,0,6.1160000000000005,12.849148999058265,-0.29000000000000004,28.35,79486.21487505717
1970-01-01 00:00:01.559041284,lower-level,wireless,192.168.0.1,0.61,142.254.217.53,9.36,0,3,0,6.172,12.81820073177199,0.43999999999999995,0.73,119775.3571012847
1970-01-01 00:00:01.559041294,lower-level,wireless,192.168.0.1,1.59,142.254.217.53,8.85,0,3,0,6.386,12.70871472651739,0.9800000000000001,0.5400000000000001,42447.33282302291
1970-01-01 00:00:01.559041304,lower-level,wireless,192.168.0.1,2.13,142.254.217.53,11.48,0,3,0,0.992,0.8302529734966448,0.5399999999999998,-0.4400000000000003,85850.91342018783
1970-01-01 00:00:01.559041315,lower-level,wireless,192.168.0.1,0.3,142.254.217.53,6.3,0,3,0,0.96,0.858487041253402,-1.8299999999999998,-2.3699999999999997,138973.34563364126
1970-01-01 00:00:01.559041325,lower-level,wireless,192.168.0.1,0.35,142.254.217.53,8.71,0,3,0,0.9960000000000001,0.8199878047873763,0.04999999999999999,1.88,47675.016914074586
1970-01-01 00:00:01.559041335,lower-level,wireless,192.168.0.1,3.55,142.254.217.53,8.19,0,3,0,1.584,1.3541344098722323,3.1999999999999997,3.15,72575.37345737027
1970-01-01 00:00:01.559041345,lower-level,wireless,192.168.0.1,1.51,142.254.217.53,9.32,0,3,0,1.568,1.3545183645857366,-2.04,-5.24,104882.96151243815
1970-01-01 00:00:01.559041355,lower-level,wireless,192.168.0.1,0.76,142.254.217.53,16.45,0,3,0,1.294,1.3509737229124847,-0.75,1.29,73591.56026969508
1970-01-01 00:00:01.559041365,lower-level,wireless,192.168.0.1,0.17,142.254.217.53,8.56,0,3,0,1.268,1.3759069735996032,-0.59,0.16000000000000003,117066.05875150092
1970-01-01 00:00:01.559041375,lower-level,wireless,192.168.0.1,1.33,142.254.217.53,41.31,0,3,0,1.464,1.2788197683802118,1.1600000000000001,1.75,215680.81342935952
1970-01-01 00:00:01.559041386,lower-level,wireless,192.168.0.1,2.14,142.254.217.53,9.4,0,3,0,1.182,0.7499133283253603,0.81,-0.3500000000000001,125674.27864214429
1970-01-01 00:00:01.559041396,lower-level,wireless,192.168.0.1,0.72,142.254.217.53,10.08,0,3,0,1.024,0.7467462755180101,-1.4200000000000002,-2.2300000000000004,126489.56231669089
1970-01-01 00:00:01.559041406,lower-level,wireless,192.168.0.1,0.47,142.254.217.53,9.36,0,3,0,0.966,0.78277071994296,-0.25,1.1700000000000002,217343.03438505562
1970-01-01 00:00:01.559041416,lower-level,wireless,192.168.0.1,1.05,142.254.217.53,9.28,0,3,0,1.142,0.6460417943136648,0.5800000000000001,0.8300000000000001,147744.29262842188
1970-01-01 00:00:01.559041426,lower-level,wireless,192.168.0.1,0.83,142.254.217.53,10.28,0,3,0,1.0420000000000003,0.6483594681964779,-0.22000000000000008,-0.8000000000000002,181375.20865965824
1970-01-01 00:00:01.559041436,lower-level,wireless,192.168.0.1,0.82,142.254.217.53,8.26,0,3,0,0.7779999999999999,0.21016660058158598,-0.010000000000000009,0.21000000000000008,222188.60092106706
1970-01-01 00:00:01.559041446,lower-level,wireless,192.168.0.1,0.32,142.254.217.53,8.27,0,3,0,0.6980000000000001,0.29626002092759657,-0.49999999999999994,-0.48999999999999994,149268.61658602883
1970-01-01 00:00:01.559041456,lower-level,wireless,192.168.0.1,1.38,142.254.217.53,9.18,0,3,0,0.8800000000000001,0.3868462226777195,1.0599999999999998,1.5599999999999998,148628.1360148632
1970-01-01 00:00:01.559041467,lower-level,wireless,192.168.0.1,0.54,142.254.217.53,8.95,0,3,0,0.778,0.3978944583680701,-0.8399999999999999,-1.8999999999999997,192009.00585149715
1970-01-01 00:00:01.559041477,lower-level,wireless,192.168.0.1,1.0,142.254.217.53,14.0,0,3,0,0.812,0.41051187558951296,0.45999999999999996,1.2999999999999998,141289.629440917
