timestamp,location,source,local_dest,local_avg,remote_dest,remote_avg
1559041751.5225785,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,13.7
1559041761.6356745,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,11.12
1559041771.7352858,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.79
1559041781.847314,lower-level,ethernet,192.168.0.1,0.19,142.254.217.53,8.69
1559041791.949234,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.23
1559041802.0512984,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.24
1559041812.1540306,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.25
1559041822.2565317,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.37
1559041832.357896,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.83
1559041842.467414,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.41
1559041852.5704272,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.0
1559041862.6702154,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.46
1559041872.7721195,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.0
1559041882.8777065,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.48
1559041893.0047557,lower-level,ethernet,192.168.0.1,5.78,142.254.217.53,10.47
1559041903.1194525,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,12.65
1559041913.2222974,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.01
1559041923.3250036,lower-level,ethernet,192.168.0.1,0.17,142.254.217.53,8.22
1559041933.4379742,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.87
1559041943.5437872,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.42
1559041953.6479733,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.83
1559041963.7494273,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.14
1559041973.8503983,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.15
1559041983.9559922,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.37
1559041994.0594993,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.08
1559042004.1542735,lower-level,ethernet,192.168.0.1,0.17,142.254.217.53,8.48
1559042014.2550135,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.66
1559042024.3547316,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.75
1559042034.4549837,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.55
1559042044.5571465,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.04
1559042054.6702201,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,11.98
1559042064.772862,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.27
1559042074.877142,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.07
1559042084.9879365,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.6
1559042095.0865185,lower-level,ethernet,192.168.0.1,0.33,142.254.217.53,8.52
1559042105.1886864,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.41
1559042115.2916133,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.53
1559042125.3920243,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.0
1559042135.5026298,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.86
1559042145.6079485,lower-level,ethernet,192.168.0.1,0.23,142.254.217.53,8.78
1559042155.7156472,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.68
1559042165.823866,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,10.35
1559042175.9270957,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.44
1559042186.0315225,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.98
1559042196.1330574,lower-level,ethernet,192.168.0.1,0.27,142.254.217.53,8.04
1559042206.242282,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.89
1559042216.3461466,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.99
1559042226.4480395,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.24
1559042236.5629818,lower-level,ethernet,192.168.0.1,0.19,142.254.217.53,9.71
1559042246.6689866,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.53
1559042256.7909536,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,14.68
1559042266.8817067,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,7.94
1559042276.9856794,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.88
1559042287.0853972,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.02
1559042297.1849732,lower-level,ethernet,192.168.0.1,0.17,142.254.217.53,7.7
1559042307.290202,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.0
1559042317.4004383,lower-level,ethernet,192.168.0.1,2.7,142.254.217.53,8.4
1559042327.503968,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.14
1559042337.6077716,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.98
1559042347.7129502,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,9.66
1559042357.819048,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.0
1559042367.9198556,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.56
1559042378.0214975,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.0
1559042388.1222851,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,11.12
1559042398.225546,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.18
1559042408.3301325,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.21
1559042418.43246,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.42
1559042428.5340528,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.88
1559042438.6349807,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.76
1559042448.7360384,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.11
1559042458.8312669,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.95
1559042468.9346054,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.75
1559042479.0379272,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.06
1559042489.1414104,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.53
1559042499.2517774,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.21
1559042509.3539803,lower-level,ethernet,192.168.0.1,0.2,142.254.217.53,8.18
1559042519.4517155,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.69
1559042529.5540357,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.92
1559042539.6577642,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.51
1559042549.7577631,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.96
1559042559.8631632,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.46
1559042569.9671905,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.7
1559042580.0705001,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.41
1559042590.1713061,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,7.81
1559042600.2731123,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,8.09
1559042610.3738577,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.69
1559042620.4757314,lower-level,ethernet,192.168.0.1,0.17,142.254.217.53,8.1
1559042630.5781302,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.45
1559042640.682351,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.16
1559042650.7830646,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.29
1559042660.884612,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.94
1559042670.9877527,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.57
1559042681.08525,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.38
1559042691.1946898,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,10.41
1559042701.293064,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.03
1559042711.3957388,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.83
1559042721.4985194,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.2
1559042731.6025333,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.96
1559042741.710066,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.35
1559042751.8102996,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.17
1559042761.9240205,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.35
1559042772.0305681,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.44
1559042782.132439,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.52
1559042792.2349038,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.13
1559042802.3408089,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.94
1559042812.4416842,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.25
1559042822.5470335,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.56
1559042832.6503322,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.59
1559042842.754072,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.55
1559042852.8569367,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.56
1559042862.9599168,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.93
1559042873.060152,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.0
1559042883.177635,lower-level,ethernet,192.168.0.1,4.97,142.254.217.53,8.38
1559042893.2790923,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.21
1559042903.3850198,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.85
1559042913.4928923,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.64
1559042923.602863,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.82
1559042933.7044141,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.99
1559042943.8073492,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.39
1559042953.9097505,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.28
1559042964.0121148,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.61
1559042974.1141512,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.22
1559042984.2179449,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.46
1559042994.3183317,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.73
1559043004.4223955,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.32
1559043014.5279393,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.66
1559043024.6314542,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.65
1559043034.7325413,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.9
1559043044.8352747,lower-level,ethernet,192.168.0.1,0.23,142.254.217.53,8.96
1559043054.937179,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,8.23
1559043065.0380607,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.01
1559043075.143269,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.74
1559043085.2453017,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.94
1559043095.3439906,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.57
1559043105.4471245,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.41
1559043115.556608,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.64
1559043125.6786072,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,14.34
1559043135.7782586,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.81
1559043145.8787198,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.18
1559043155.979777,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.13
1559043166.0831745,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.63
1559043176.1939313,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.76
1559043186.297796,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.85
1559043196.3951027,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.37
1559043206.4974134,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.21
1559043216.600418,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.22
1559043226.702653,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.39
1559043236.8038619,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.97
1559043246.9074626,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,7.96
1559043257.0095615,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.95
1559043267.1187344,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.23
1559043277.2234015,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.78
1559043287.3278897,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,7.96
1559043297.430203,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.44
1559043307.5435097,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,11.49
1559043317.647768,lower-level,ethernet,192.168.0.1,0.19,142.254.217.53,8.0
1559043327.759967,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.38
1559043337.8637047,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.62
1559043347.971655,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.56
1559043358.0746026,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.63
1559043368.1782641,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.22
1559043378.2810738,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.39
1559043388.3846905,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.9
1559043398.4927113,lower-level,ethernet,192.168.0.1,2.5,142.254.217.53,7.81
1559043408.6039698,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,11.26
1559043418.7094126,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,9.12
1559043428.8119667,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.37
1559043438.9179015,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,8.81
1559043449.0191875,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.05
1559043459.118914,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.85
1559043469.221169,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.47
1559043479.3345268,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.96
1559043489.435589,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.97
1559043499.5693321,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,18.25
1559043509.6709516,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.71
1559043519.772013,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.88
1559043529.8740554,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.08
1559043539.9763577,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,8.19
1559043550.0787492,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.36
1559043560.1801767,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.94
1559043570.2785606,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.58
1559043580.383312,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.81
1559043590.4871726,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.56
1559043600.5826817,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.03
1559043610.6854892,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.33
1559043620.7903748,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.27
1559043630.8904848,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.71
